一	一 𽀀
羼	羼 𽪩
瞿	瞿 𽪪
矍	矍 𽪫
雔	雔 𽪬
靃	靃 𽪭
雙	雙 𽪮
雥	雥 𽪯
䨊	䨊 𽪰
雧	雧 𽪱
集	集 𽪲
鳥	鳥 𽪳
鳳	鳳 𽪴
𠤈	𠤈 𽪵
朋	朋 𽪵
𢐴	𢐴 𽪵
鵬	鵬 𽪶
𪈵	𪈵 𽪶
𮭟	𮭟 𽪶
鸞	鸞 𽪷
鸑	鸑 𽪸
鷟	鷟 𽪹
鷫	鷫 𽪺
𱈷	𱈷 𽪻
𪂸	𪂸 𽪻
鷞	鷞 𽪼
鳩	鳩 𽪽
鶌	鶌 𽪾
鵻	鵻 𽪿
隼	隼 𽫀
鶻	鶻 𽫁
鵃	鵃 𽫂
𪈓	𪈓 𽫃
鴿	鴿 𽫄
鴠	鴠 𽫅
鶪	鶪 𽫆
𩀎	𩀎 𽫇
𪅡	𪅡 𽫈
𪇬	𪇬 𽫉
鷽	鷽 𽫊
雤	雤 𽫋
𪆩	𪆩 𽫌
鴞	鴞 𽫍
鴂	鴂 𽫎
䳳	䳳 𽫏
䲱	䲱 𽫐
𪇲	𪇲 𽫑
𪄭	𪄭 𽫒
䳀	䳀 𽫓
鶤	鶤 𽫔
𪁾	𪁾 𽫕
䳔	䳔 𽫖
𪆄	𪆄 𽫗
鷦	鷦 𽫗
𪃐	𪃐 𽫘
鶹	鶹 𽫙
𪅳	𪅳 𽫙
𪄿	𪄿 𽫚
𪅀	𪅀 𽫚
𪇠	𪇠 𽫚 
𩀤	𩀤 𽫛
𩁘	𩁘 𽫛
難	難 𽫛 𽫞
𩁣	𩁣 𽫜
𩁪	𩁪 𽫝
𩁳	𩁳 𽫟
𩀙	𩀙 𽫠
鶨	鶨 𽫡
𪁑	𪁑 𽫢
𩿢	𩿢 𽫣
𪂆	𪂆 𽫤
鷯	鷯 𽫥
鶠	鶠 𽫦
鴲	鴲 𽫧
鵅	鵅 𽫨
鸔	鸔 𽫩 𽫪
𪈫	𪈫 𽫪
鶴	鶴 𽫫
鷺	鷺 𽫬
鵠	鵠 𽫭
鴻	鴻 𽫮
𪀖	𪀖 𽫯
鶖	鶖 𽫰
鴛	鴛 𽫱
鴦	鴦 𽫲
鵽	鵽 𽫳
𪂚	𪂚 𽫴
鴚	鴚 𽫵
䳘	䳘 𽫶
鴈	鴈 𽫷
鶩	鶩 𽫸
鷖	鷖 𽫹
𪃈	𪃈 𽫺
𪈙	𪈙 𽫻
𪇷	𪇷 𽫻
䴌	䴌 𽫼
鷸	鷸 𽫽
𪈄	𪈄 𽫾
𪇊	𪇊 𽫿
鷈	鷈 𽬀
𪈒	𪈒 𽬁
鷀	鷀 𽬂 𽬃
𪆖	𪆖 𽬄
𪀐	𪀐 𽬅
鵖	鵖 𽬆
鴇	鴇 𽬇
䳈	䳈 𽬈
𪆫	𪆫 𽬉
䳼	䳼 𽬊
䳁	䳁 𽬋
𪅟	𪅟 𽬌
鶃	鶃 𽬍
鷊	鷊 𽬎
𪁌	𪁌 𽬏
鴺	鴺 𽬐
鵜	鵜 𽬑
鴗	鴗 𽬒
鶬	鶬 𽬓
𩀞	𩀞 𽬔
鴰	鴰 𽬕
𪁝	𪁝 𽬕
𪁉	𪁉 𽬖
𪂴	𪂴 𽬗
鳽	鳽 𽬘
𪇳	𪇳 𽬙
鴜	鴜 𽬚
鷻	鷻 𽬛
𪈶	𪈶 𽬛
𪀝	𪀝 𽬜
鷳	鷳 𽬝
鷂	鷂 𽬞
鷢	鷢 𽬟
鴡	鴡 𽬠
𪈩	𪈩 𽬡
鸇	鸇 𽬢
𪇮	𪇮 𽬣
鷐	鷐 𽬤
鷙	鷙 𽬥
鴥	鴥 𽬦
鶯	鶯 𽬧
鴝	鴝 𽬨
鵒	鵒 𽬩
𩀑	𩀑 𽬪
鷩	鷩 𽬫
鵔	鵔 𽬬
鸃	鸃 𽬭
𪆡	𪆡 𽬮
𪄱	𪄱 𽬮
鶡	鶡 𽬯
䲸	䲸 𽬰
鸚	鸚 𽬱
䳇	䳇 𽬲
鷮	鷮 𽬳
𪄼	𪄼 𽬴
䴎	䴎 𽬵
𤴒	𤴒 𽬶
鶾	鶾 𽬷
鴳	鴳 𽬸
鴆	鴆 𽬹
鷇	鷇 𽬺
鳴	鳴 𽬻
鶱	鶱 𽬼
𩿈	𩿈 𽬽
鷓	鷓 𽬾
鴣	鴣 𽬿
鴨	鴨 𽭀
𪀦	𪀦 𽭁
烏	烏 𽭂
𡗃	𡗃 𽭃
於	於 𽭄
舄	舄 𽭅
𩁆	𩁆 𽭆
䧿	䧿 𽭆
焉	焉 𽭇
𠦒	𠦒 𽭈
畢	畢 𽭉
𤲃	𤲃 𽭉
糞	糞 𽭊
𨤝	𨤝 𽭊
棄	棄 𽭋
弃	弃 𽭌
𠆉	𠆉 𽭍
冓	冓 𽭎
再	再 𽭏
爯	爯 𽭐
幺	幺 𽭑
幼	幼 𽭒
麼	麼 𽭓
𢆶	𢆶 𽭔
幽	幽 𽭕
幾	幾 𽭖
叀	叀 𽭗
𡴁	𡴁 𽭘
𰆄	𰆄 𽭙
𠧢	𠧢 𽭙
惠	惠 𽭚
𢥁	𢥁 𽭛
𢡘	𢡘 𽭛
𤴡	𤴡 𽭜
玄	玄 𽭝 𿘎
𠵓	𠵓 𽭞 𿯠
玆	玆 𽭟
玈	玈 𽭠
予	予 𽭡
舒	舒 𽭢
𠄔	𠄔 𽭣
𢆱	𢆱 𽭣
幻	幻 𽭣
放	放 𽭤
𢾍	𢾍 𽭥
敖	敖 𽭥
敫	敫 𽭦
𠬪	𠬪 𽭧
爰	爰 𽭨
𤔔	𤔔 𽭩
𤔬	𤔬 𽭩
𠭟	𠭟 𽭪
受	受 𽭫
𤔂	𤔂 𽭬
𤓴	𤓴 𽭭
争	争 𽭮
爭	爭 𽭮
𤔌	𤔌 𽭯
寽	寽 𽭰
𠭖	𠭖 𽭱
敢	敢 𽭲
𣪏	𣪏 𽭲
𢽤	𢽤 𽭳
𣦻	𣦻 𽭴
𣦼	𣦼 𽭴
㕡	㕡 𽭵
𫫽	𫫽 𽭶
壑	壑 𽭶
㕢	㕢 𽭷
𠭘	𠭘 𽭸
𠭗	𠭗 𽭸
叡	叡 𽭹 𽂊
𠮉	𠮉 𽭹 𽂊
𥈠	𥈠 𽭺
睿	睿 𽭺
壡	壡 𽭻
𡓝	𡓝 𽭻
歹	歹 𽭼
歺	歺 𽭼
𣦵	𣦵 𽭼
𡰮	𡰮 𽭽
𣨙	𣨙 𽭾
㱪	㱪 𽭿
殙	殙 𽮀
殰	殰 𽮁
歾	歾 𽮂
𣨨	𣨨 𽮃
𣨏	𣨏 𽮃
殁	殁 𽮃
𣨛	𣨛 𽮄
殊	殊 𽮅
殟	殟 𽮆
殤	殤 𽮇
殂	殂 𽮈
𡲡	𡲡 𽮉
𣧫	𣧫 𽮉
𣨐	𣨐 𽮊
𬆖	𬆖 𽮊
殛	殛 𽮋
殪	殪 𽮌
𣩉	𣩉 𽮍
㱳	㱳 𽮎
殯	殯 𽮏
殔	殔 𽮐
殣	殣 𽮑
𣩲	𣩲 𽮑
殠	殠 𽮒
殨	殨 𽮓
㱙	㱙 𽮔
朽	朽 𽮕
殆	殆 𽮖
殃	殃 𽮗
殘	殘 𽮘
殄	殄 𽮙
𠂈	𠂈 𽮚
殲	殲 𽮛
殫	殫 𽮜
殬	殬 𽮝
㱻	㱻 𽮟 𽮞
㱯	㱯 𽮠
𣧻	𣧻 𽮡
㱚	㱚 𽮡 𽮢
殖	殖 𽮣
㱠	㱠 𽮤
𣧮	𣧮 𽮤
㱦	㱦 𽮥
𣦸	𣦸 𽮦
死	死 𽮦
𭭾	𭭾 𽮦
𠒁	𠒁 𽮧
𠑾	𠑾 𽮧
𦭀	𦭀 𽮧
薨	薨 𽮨
薧	薧 𽮩
𣣌	𣣌 𽮪
冎	冎 𽮫
别	别 𽮬
別	別 𽮬
𠛰	𠛰 𽮬
𠕩	𠕩 𽮭
㗗	㗗 𽮭
骨	骨 𽮮
髑	髑 𽮯
髏	髏 𽮰
髆	髆 𽮱
髃	髃 𽮲
骿	骿 𽮳
髀	髀 𽮴
䠋	䠋 𽮵
髁	髁 𽮶
𩪗	𩪗 𽮷
髖	髖 𽮸
髕	髕 𽮹
䯏	䯏 𽮺
𩩎	𩩎 𽮺
𩪹	𩪹 𽮻
䯣	䯣 𽮻
骹	骹 𽮼
骭	骭 𽮽
骸	骸 𽮾
髓	髓 𽮿
𩪦	𩪦 𽮿
䯜	䯜 𽯀
體	體 𽯁
髍	髍 𽯂
骾	骾 𽯃
𩩹	𩩹 𽯃
骼	骼 𽯄
骴	骴 𽯅
骫	骫 𽯆
䯤	䯤 𽯇
肉	肉 𽯈
𠕎	𠕎 𽯈
腜	腜 𽯉
胚	胚 𽯊
肧	肧 𽯊
胎	胎 𽯋
肌	肌 𽯌
臚	臚 𽯍
膚	膚 𽯎
肫	肫 𽯏
𦠄	𦠄 𽯐
脣	脣 𽯑
䫃	䫃 𽯒
脰	脰 𽯓
肓	肓 𽯔
腎	腎 𽯕
𦚃	𦚃 𽯖
肺	肺 𽯖
脾	脾 𽯗
肝	肝 𽯘
膽	膽 𽯙
胃	胃 𽯚
𦞅	𦞅 𽯚
脬	脬 𽯛
腸	腸 𽯜
膏	膏 𽯝
肪	肪 𽯞
膺	膺 𽯟
𦢖	𦢖 𽯟
肊	肊 𽯠
臆	臆 𽯡
背	背 𽯢
脅	脅 𽯣
𦜶	𦜶 𽯤
膀	膀 𽯤
髈	髈 𽯥
脟	脟 𽯦
肋	肋 𽯧
胂	胂 𽯨
脢	脢 𽯩
𦙪	𦙪 𽯪
肩	肩 𽯫
胳	胳 𽯬
胠	胠 𽯭
𦚁	𦚁 𽯭
臂	臂 𽯮
臑	臑 𽯯
肘	肘 𽯰
𠬐	𠬐 𽯱
𪗇	𪗇 𽯱
腹	腹 𽯲
𦞶	𦞶 𽯲
腴	腴 𽯳
脽	脽 𽯴
𦚀	𦚀 𽯵
䏐	䏐 𽯵
胯	胯 𽯶
股	股 𽯷
腳	腳 𽯸
脚	脚 𽯸
脛	脛 𽯹
胻	胻 𽯺
腓	腓 𽯻
腨	腨 𽯼
胑	胑 𽯽
肢	肢 𽯾
胲	胲 𽯿
肖	肖 𽰀
胤	胤 𽰁
𦞩	𦞩 𽰂
胄	胄 𽰃 𾗂
䏌	䏌 𽰄
膻	膻 𽰅
䑋	䑋 𽰆
𦝨	𦝨 𽰇
臞	臞 𽰈
脱	脱 𽰉
脫	脫 𽰉
脙	脙 𽰊
臠	臠 𽰋
𦢕	𦢕 𽰌
膌	膌 𽰌
㾊	㾊 𽰍
脀	脀 𽰎
胗	胗 𽰏
疹	疹 𽰐
腄	腄 𽰑
胝	胝 𽰒
肬	肬 𽰓
𪐤	𪐤 𽰔
肒	肒 𽰕
腫	腫 𽰖
胅	胅 𽰗
脪	脪 𽰘
䏖	䏖 𽰙
臘	臘 𽰚
膢	膢 𽰛
脁	脁 𽰜
胙	胙 𽰝
𦙐	𦙐 𽰝
隋	隋 𽰞
𦢃	𦢃 𽰟
膳	膳 𽰟
腬	腬 𽰠
肴	肴 𽰡
腆	腆 𽰢
𣇺	𣇺 𽰣
腯	腯 𽰤
䏟	䏟 𽰥
胡	胡 𽰦
胘	胘 𽰧
膍	膍 𽰨
肶	肶 𽰩
胵	胵 𽰪
膘	膘 𽰫
𦣁	𦣁 𽰫
𦝭	𦝭 𽰬
膟	膟 𽰭
膫	膫 𽰮
膋	膋 𽰯
脯	脯 𽰰
𠋛	𠋛 𽰱
脩	脩 𽰱
膎	膎 𽰲
脼	脼 𽰳
膊	膊 𽰴
脘	脘 𽰵
胊	胊 𽰶
膴	膴 𽰷
𦣌	𦣌 𽰷
胥	胥 𽰸
腒	腒 𽰹
肍	肍 𽰺
䐹	䐹 𽰻
腝	腝 𽰼
𦣊	𦣊 𽰽
臡	臡 𽰽
𦣚	𦣚 𽰽
脠	脠 𽰾
𦚺	𦚺 𽰿
䏽	䏽 𽱀
𦜟	𦜟 𽱀
胹	胹 𽱁
䐣	䐣 𽱂
胜	胜 𽱃
臊	臊 𽱄
膮	膮 𽱅
腥	腥 𽱆
脂	脂 𽱇
䐝	䐝 𽱈
䑁	䑁 𽱉
膩	膩 𽱊
膜	膜 𽱋
䐞	䐞 𽱌
𦞦	𦞦 𽱍
膹	膹 𽱎
臇	臇 𽱏
䐪	䐪 𽱏
㷷	㷷 𽱐
𭵡	𭵡 𽱐
𦛹	𦛹 𽱑
胾	胾 𽱑
䐑	䐑 𽱒
膾	膾 𽱓
𦟩	𦟩 𽱔
腌	腌 𽱔
脆	脆 𽱕
脃	脃 𽱕
膬	膬 𽱖
𢿨	𢿨 𽱗
𢿱	𢿱 𽱗
散	散 𽱗
膞	膞 𽱘
腏	腏 𽱙
𦚙	𦚙 𽱚
𡌵	𡌵 𽱚
𡋜	𡋜 𽱚
胏	胏 𽱛
䐄	䐄 𽱜
肰	肰 𽱝 𽱟
𦛦	𦛦 𽱞
𦝸	𦝸 𽱞
䐜	䐜 𽱠
䏙	䏙 𽱡
膠	膠 𽱢
𮌩	𮌩 𽱣
𦟀	𦟀 𽱣
𣎆	𣎆 𽱣
𦝠	𦝠 𽱣
䏣	䏣 𽱤
肙	肙 𽱥
腐	腐 𽱦
肎	肎 𽱧
𣍟	𣍟 𽱨
𫜾	𫜾 𽱨
𠕔	𠕔 𽱨
肥	肥 𽱩
䏿	䏿 𽱪
朘	朘 𽱫
脧	脧 𽱫
腔	腔 𽱬
𦚧	𦚧 𽱭
䏰	䏰 𽱮
筋	筋 𽱯
䇟	䇟 𽱰
腱	腱 𽱱
𥭖	𥭖 𽱲
肑	肑 𽱳
𠚣	𠚣 𽱴
刀	刀 𽱴
㓡	㓡 𽱵
𠟎	𠟎 𽱶
㗉	㗉 𽱷
削	削 𽱸
𠛎	𠛎 𽱹
剴	剴 𽱺
剞	剞 𽱻
劂	劂 𽱼
𠜾	𠜾 𽱼
利	利 𽱽
𥝤	𥝤 𽱾
剡	剡 𽱿
初	初 𽲀
𣦃	𣦃 𽲁
剪	剪 𽲁
𠝣	𠝣 𽲁
則	則 𽲂
𠟻	𠟻 𽲃
𠞋	𠞋 𽲄
𠟭	𠟭 𽲅
剛	剛 𽲆
𠝾	𠝾 𽲆
𠇙	𠇙 𽲇
剬	剬 𽲈
劊	劊 𽲉
切	切 𽲊
刌	刌 𽲋
㔎	㔎 𽲌
刏	刏 𽲍
劌	劌 𽲎
刻	刻 𽲏
𠞫	𠞫 𽲐
副	副 𽲑
疈	疈 𽲒
𠠦	𠠦 𽲒
𠝒	𠝒 𽲓
剖	剖 𽲓
辧	辧 𽲔
辨	辨 𽲔
判	判 𽲕
剫	剫 𽲖
刳	刳 𽲗
𠜊	𠜊 𽲘
𠛱	𠛱 𽲘
列	列 𽲘
刊	刊 𽲙
剟	剟 𽲚
刪	刪 𽲛
删	删 𽲛
𠜂	𠜂 𽲛
劈	劈 𽲜
剝	剝 𽲝
剥	剥 𽲝
𠚩	𠚩 𽲞
𠚬	𠚬 𽲞
割	割 𽲟
𠞲	𠞲 𽲠
剺	剺 𽲠
𠟱	𠟱 𽲡
劃	劃 𽲡
剈	剈 𽲢
劀	劀 𽲣
劑	劑 𽲤
刷	刷 𽲥
𠜜	𠜜 𽲦
剽	剽 𽲧
𠠧	𠠧 𽲧
刲	刲 𽲨
𠞐	𠞐 𽲩
剉	剉 𽲩
劋	劋 𽲪
刖	刖 𽲫
刜	刜 𽲬
㓼	㓼 𽲭
劖	劖 𽲮
刓	刓 𽲯
釗	釗 𽲰
制	制 𽲱
𠝁	𠝁 𽲲
㓠	㓠 𽲳
罰	罰 𽲴
𦋬	𦋬 𽲴
刵	刵 𽲵
㓷	㓷 𽲶
劓	劓 𽲷
刑	刑 𽲸
𠛬	𠛬 𽲸
剄	剄 𽲹
𠟃	𠟃 𽲺
魝	魝 𽲻
券	券 𽲼
刺	刺 𽲽
剔	剔 𽲾
刎	刎 𽲿
剜	剜 𽳀
劇	劇 𽳁
剎	剎 𽳂
刹	刹 𽳂
刃	刃 𽳃
刅	刅 𽳄
創	創 𽳅
劒	劒 𽳆
劎	劎 𽳇
劍	劍 𽳇
㓞	㓞 𽳈
𠜵	𠜵 𽳉
栔	栔 𽳊
丯	丯 𽳋
𠲱	𠲱 𽳌
𣐇	𣐇 𽳍
耒	耒 𽳍
耕	耕 𽳎
𦓮	𦓮 𽳎
耦	耦 𽳏
耤	耤 𽳐
𦔡	𦔡 𽳐
𦓯	𦓯 𽳑
𦔐	𦔐 𽳒
𦓷	𦓷 𽳓
𦶮	𦶮 𽳓
耡	耡 𽳔
角	角 𽳕
𧢲	𧢲 𽳕
䚭	䚭 𽳖
觻	觻 𽳗
䚡	䚡 𽳘
觠	觠 𽳙
觬	觬 𽳚
觢	觢 𽳛
䚦	䚦 𽳜
觭	觭 𽳝
觓	觓 𽳞
𧤖	𧤖 𽳟
𧢼	𧢼 𽳠
𧤼	𧤼 𽳡
觸	觸 𽳢
觲	觲 𽳣
䚗	䚗 𽳤
觷	觷 𽳥
𧗾	𧗾 𽳦
衡	衡 𽳦
𡙏	𡙏 𽳧
𧤗	𧤗 𽳨
觰	觰 𽳩
觤	觤 𽳪
觟	觟 𽳫
觡	觡 𽳬
觜	觜 𽳭
解	解 𽳮
觿	觿 𽳯
觵	觵 𽳰
觥	觥 𽳱
觶	觶 𽳲
𧣨	𧣨 𽳳
觗	觗 𽳴
觛	觛 𽳵
觴	觴 𽳶
𤔰	𤔰 𽳷
𣝻	𣝻 𽳷
觚	觚 𽳸
𧣰	𧣰 𽳹
䚙	䚙 𽳹
䚫	䚫 𽳺
觼	觼 𽳻
鐍	鐍 𽳼
𧣚	𧣚 𽳽
䚨	䚨 𽳾
𧤕	𧤕 𽳿
觳	觳 𽴀
𧥑	𧥑 𽴁
竹	竹 𽴂
𲶙	𲶙 𽴃
𥳭	𥳭 𽴃
箭	箭 𽴃
𥲫	𥲫 𽴃
箘	箘 𽴄
簬	簬 𽴅
簵	簵 𽴆
筱	筱 𽴇
簜	簜 𽴈
䉠	䉠 𽴉
𥰙	𥰙 𽴊
筍	筍 𽴋
䈚	䈚 𽴌
箁	箁 𽴍
箬	箬 𽴎
節	節 𽴏
筡	筡 𽴐
𥵸	𥵸 𽴑
𥵨	𥵨 𽴑
笢	笢 𽴒
笨	笨 𽴓
䈵	䈵 𽴔
篸	篸 𽴕
篆	篆 𽴖
籒	籒 𽴗
籀	籀 𽴗
篇	篇 𽴘
𥷸	𥷸 𽴙
籍	籍 𽴙
篁	篁 𽴚
䉃	䉃 𽴛
䈎	䈎 𽴜
籥	籥 𽴝
䉧	䉧 𽴞
𥷢	𥷢 𽴞
簡	簡 𽴟
𥳑	𥳑 𽴟
笐	笐 𽴠
篰	篰 𽴡
等	等 𽴢
笵	笵 𽴣
箋	箋 𽴤
符	符 𽴥
𥷂	𥷂 𽴦
𥷣	𥷣 𽴦
筮	筮 𽴦
笄	笄 𽴧
筓	筓 𽴧
䇫	䇫 𽴨
籆	籆 𽴩
𰴦	𰴦 𽴪
𧤽	𧤽 𽴪
筳	筳 𽴫
筦	筦 𽴬
筟	筟 𽴭
笮	笮 𽴮
簾	簾 𽴯
𥴹	𥴹 𽴰
簀	簀 𽴰
笫	笫 𽴱
筵	筵 𽴲
𥸖	𥸖 𽴳
簟	簟 𽴳
籧	籧 𽴴
篨	篨 𽴵
籭	籭 𽴶
籓	籓 𽴷
䉛	䉛 𽴸
籔	籔 𽴹
箅	箅 𽴺
𥳓	𥳓 𽴻
䈰	䈰 𽴼
筥	筥 𽴽
笥	笥 𽴾
簞	簞 𽴿
簁	簁 𽵀
箄	箄 𽵁
篿	篿 𽵂
箸	箸 𽵃
簍	簍 𽵄
筤	筤 𽵅
籃	籃 𽵆
𢉧	𢉧 𽵇
篝	篝 𽵈
笿	笿 𽵉
䇨	䇨 𽵊
籢	籢 𽵋
籫	籫 𽵌
籯	籯 𽵍
䈀	䈀 𽵎
𥮚	𥮚 𽵎
簋	簋 𽵏
㔳	㔳 𽵐
㔲	㔲 𽵑
匭	匭 𽵒
朹	朹 𽵓
簠	簠 𽵔
𠤱	𠤱 𽵕
𥸅	𥸅 𽵖
籩	籩 𽵖
𠥣	𠥣 𽵗
𠥫	𠥫 𽵗
𥫱	𥫱 𽵘
篅	篅 𽵙
簏	簏 𽵚
箓	箓 𽵛
𥯕	𥯕 𽵜
筩	筩 𽵝
𥲼	𥲼 𽵞
箯	箯 𽵞
笯	笯 𽵟
竿	竿 𽵠
籱	籱 𽵡
籗	籗 𽵢
篧	篧 𽵣
箇	箇 𽵤
个	个 𽵥
筊	筊 𽵦
筰	筰 𽵧
𥮒	𥮒 𽵨
箑	箑 𽵩
䈉	䈉 𽵪
籠	籠 𽵫
䉴	䉴 𽵬
䇘	䇘 𽵭
互	互 𽵮
𥵐	𥵐 𽵯
簝	簝 𽵯
𥴧	𥴧 𽵰
篼	篼 𽵱
籚	籚 𽵲
箝	箝 𽵳
𥷄	𥷄 𽵴
籋	籋 𽵴
簦	簦 𽵵
笠	笠 𽵶
箱	箱 𽵷
篚	篚 𽵸
笭	笭 𽵹
𥰨	𥰨 𽵺
策	策 𽵻
𥴓	𥴓 𽵼
箠	箠 𽵼
𥬲	𥬲 𽵽
𥬸	𥬸 𽵽
笍	笍 𽵾
籣	籣 𽵿
箙	箙 𽶀
䇬	䇬 𽶁
笘	笘 𽶂
笪	笪 𽶃
笞	笞 𽶄
籤	籤 𽶅
𥴫	𥴫 𽶆
箴	箴 𽶇
箾	箾 𽶈
𥫡	𥫡 𽶉
竽	竽 𽶉
笙	笙 𽶊
簧	簧 𽶋
䈕	䈕 𽶌
簫	簫 𽶍
筒	筒 𽶎
籟	籟 𽶏
箹	箹 𽶐
管	管 𽶑
琯	琯 𽶒
篎	篎 𽶓
笛	笛 𽶔
筑	筑 𽶕
筝	筝 𽶖
箏	箏 𽶖
箛	箛 𽶗
篍	篍 𽶘
𥰂	𥰂 𽶘
𥵽	𥵽 𽶙
籌	籌 𽶙
簺	簺 𽶚
簙	簙 𽶛
篳	篳 𽶜
𥴨	𥴨 𽶝
䉷	䉷 𽶞
𥸂	𥸂 𽶞
篽	篽 𽶟
𩵎	𩵎 𽶠
筭	筭 𽶡
算	算 𽶢
笑	笑 𽶣
𥬇	𥬇 𽶤
第	第 𽶥
簃	簃 𽶦
筠	筠 𽶧
笏	笏 𽶨
篦	篦 𽶩
篙	篙 𽶪
箕	箕 𽶫
𠀠	𠀠 𽶬
𠵶	𠵶 𽶭
𠔋	𠔋 𽶮
𠔝	𠔝 𽶯
𠥩	𠥩 𽶰
𠥊	𠥊 𽶰
簸	簸 𽶱
丌	丌 𽶲
䢋	䢋 𽶳
典	典 𽶴
𥮏	𥮏 𽶵
顨	顨 𽶶
畁	畁 𽶷
巺	巺 𽶸
㢲	㢲 𽶸
𢌴	𢌴 𽶸
𢁅	𢁅 𽶹
巽	巽 𽶺
奠	奠 𽶻
左	左 𽶼
𢀩	𢀩 𽶽
差	差 𽶽 𽶾
工	工 𽶿
𢒅	𢒅 𽷀
𢒄	𢒄 𽷀
式	式 𽷁
巧	巧 𽷂
巨	巨 𽷃
榘	榘 𽷄
𢀓	𢀓 𽷅
𢀑	𢀑 𽷅
㠭	㠭 𽷆
𡨄	𡨄 𽷇
𡫳	𡫳 𽷇
巫	巫 𽷈
𠮎	𠮎 𽷉
𢍮	𢍮 𽷉
覡	覡 𽷊
𤮺	𤮺 𽷋
甘	甘 𽷋
甛	甛 𽷌
𤯌	𤯌 𽷍
𤯍	𤯍 𽷎
猒	猒 𽷏
𤞣	𤞣 𽷐
𤟶	𤟶 𽷐
甚	甚 𽷑
𠥄	𠥄 𽷑
𠯕	𠯕 𽷒
曰	曰 𽷓
𣌧	𣌧 𽷔
𣆑	𣆑 𽷔
𣆩	𣆩 𽷔
曷	曷 𽷕
曶	曶 𽷖
𡇆	𡇆 𽷖
𡇉	𡇉 𽷖
𡆳	𡆳 𽷗
𡆷	𡆷 𽷗
朁	朁 𽷘
沓	沓 𽷙
𣍘	𣍘 𽷚
曹	曹 𽷚
乃	乃 𽷛
𠄎	𠄎 𽷛
𢎧	𢎧 𽷜
𠄕	𠄕 𽷝
𠧟	𠧟 𽷞
𠨅	𠨅 𽷟
𠧴	𠧴 𽷠
丂	丂 𽷡
甹	甹 𽷢
寧	寧 𽷣
𠀀	𠀀 𽷤
可	可 𽷥
奇	奇 𽷦
哿	哿 𽷧
哥	哥 𽷨
叵	叵 𽷩
兮	兮 𽷪
𠣬	𠣬 𽷫
𢞛	𢞛 𽷬
羲	羲 𽷭
乎	乎 𽷮
𠂞	𠂞 𽷮
号	号 𽷯
號	號 𽷰
亏	亏 𽷱
于	于 𽷱
虧	虧 𽷲
𧇾	𧇾 𽷳
粤	粤 𽷴
粵	粵 𽷴
平	平 𽷵
𠀒	𠀒 𽷵
𤔁	𤔁 𽷶
𠀭	𠀭 𽷶
𤓹	𤓹 𽷶
旨	旨 𽷷
𤮻	𤮻 𽷸
𣅌	𣅌 𽷸
嘗	嘗 𽷹
喜	喜 𽷺
歖	歖 𽷻 𾤈
㰻	㰻 𽷼
憙	憙 𽷽
嚭	嚭 𽷾
壴	壴 𽷿
尌	尌 𽸀
𧒕	𧒕 𽸁
彭	彭 𽸂
嘉	嘉 𽸃
鼓	鼓 𽸄
𪔐	𪔐 𽸅
鼛	鼛 𽸆
𪔫	𪔫 𽸇
鼖	鼖 𽸇
䩿	䩿 𽸈
鼙	鼙 𽸉
𪔳	𪔳 𽸊
鼘	鼘 𽸋
鼞	鼞 𽸌
䶀	䶀 𽸍
𪔪	𪔪 𽸏
𪔕	𪔕 𽸐
豈	豈 𽸑
愷	愷 𽸒
𧰙	𧰙 𽸓
豆	豆 𽸔 𽸖
𣅣	𣅣 𽸕
𣅋	𣅋 𽸖
梪	梪 𽸗
𧯷	𧯷 𽸘
𧯦	𧯦 𽸙
𧰌	𧰌 𽸙
𧯡	𧯡 𽸚
𢍪	𢍪 𽸛
𧯽	𧯽 𽸜
豑	豑 𽸝
豐	豐 𽸞
𧯮	𧯮 𽸟 𽸠
𣍈	𣍈 𽸠
豔	豔 𽸡
豓	豓 𽸡
䖒	䖒 𽸢
𧇼	𧇼 𽸣
𧈚	𧈚 𽸤
虍	虍 𽸥
虞	虞 𽸦
虙	虙 𽸧
虔	虔 𽸨
虘	虘 𽸩
𧆪	𧆪 𽸪
𧆩	𧆩 𽸫
𧆧	𧆧 𽸫
虐	虐 𽸫
𧆱	𧆱 𽸬
虨	虨 𽸭
𧇽	𧇽 𽸮
鐻	鐻 𽸯
𧆾	𧆾 𽸰
虎	虎 𽸱
𢋪	𢋪 𽸲
𠪳	𠪳 𽸲
𪊖	𪊖 𽸳
𧇂	𧇂 𽸳
𧈖	𧈖 𽸴
䖑	䖑 𽸵
䖔	䖔 𽸶
虪	虪 𽸷
虦	虦 𽸸
𢒜	𢒜 𽸹
彪	彪 𽸹
䖊	䖊 𽸺
𣱤	𣱤 𽸻
虓	虓 𽸼
䖐	䖐 𽸽
虩	虩 𽸾
虢	虢 𽸿
虒	虒 𽹀
𧈜	𧈜 𽹁
𧇒	𧇒 𽹂
𧇭	𧇭 𽹂
䖘	䖘 𽹃
虤	虤 𽹄
䖜	䖜 𽹅
贙	贙 𽹆
皿	皿 𽹇
𥁄	𥁄 𽹈
盂	盂 𽹈
盌	盌 𽹉
盛	盛 𽹊
齍	齍 𽹋
䀁	䀁 𽹌
𥁓	𥁓 𽹍
盧	盧 𽹎
𥃈	𥃈 𽹏
䀇	䀇 𽹐
盄	盄 𽹑
